id,Level,asdf_id,gqid,shapeGroup,shapeID,shapeName,shapeType
"193",ADM2,"193","193",MEX,MEX-ADM2-50627088B66612413,Coapilla,ADM2
"194",ADM2,"194","194",MEX,MEX-ADM2-50627088B4701012,Catazajá,ADM2
"195",ADM2,"195","195",MEX,MEX-ADM2-50627088B51420052,Cacahoatán,ADM2
"196",ADM2,"196","196",MEX,MEX-ADM2-50627088B62220247,El Bosque,ADM2
"197",ADM2,"197","197",MEX,MEX-ADM2-50627088B33069217,Bochil,ADM2
"198",ADM2,"198","198",MEX,MEX-ADM2-50627088B82245194,Bejucal de Ocampo,ADM2
"199",ADM2,"199","199",MEX,MEX-ADM2-50627088B72149478,Angel Albino Corzo,ADM2
"200",ADM2,"200","200",MEX,MEX-ADM2-50627088B35063083,Amatenango del Valle,ADM2
"201",ADM2,"201","201",MEX,MEX-ADM2-50627088B10290359,Amatenango de la Frontera,ADM2
"202",ADM2,"202","202",MEX,MEX-ADM2-50627088B92092439,Amatán,ADM2
"203",ADM2,"203","203",MEX,MEX-ADM2-50627088B3226240,Altamirano,ADM2
"204",ADM2,"204","204",MEX,MEX-ADM2-50627088B32466340,Acala,ADM2
"205",ADM2,"205","205",MEX,MEX-ADM2-50627088B30400120,Acacoyagua,ADM2
"206",ADM2,"206","206",MEX,MEX-ADM2-50627088B83158163,Santiago el Pinar,ADM2
"207",ADM2,"207","207",MEX,MEX-ADM2-50627088B72685919,San Andrés Duraznal,ADM2
"208",ADM2,"208","208",MEX,MEX-ADM2-50627088B4142747,Montecristo de Guerrero,ADM2
"209",ADM2,"209","209",MEX,MEX-ADM2-50627088B98473943,Marqués de Comillas,ADM2
"210",ADM2,"210","210",MEX,MEX-ADM2-50627088B2513464,Benemérito de las Américas,ADM2
"211",ADM2,"211","211",MEX,MEX-ADM2-50627088B45222921,Aldama,ADM2
"212",ADM2,"212","212",MEX,MEX-ADM2-50627088B31859530,San Juan Cancuc,ADM2
"213",ADM2,"213","213",MEX,MEX-ADM2-50627088B7715157,Zinacantán,ADM2
"214",ADM2,"214","214",MEX,MEX-ADM2-50627088B29491163,San Lucas,ADM2
"215",ADM2,"215","215",MEX,MEX-ADM2-50627088B85502287,Yajalón,ADM2
"216",ADM2,"216","216",MEX,MEX-ADM2-50627088B14742902,Villaflores,ADM2
